date,symbol,open,close,low, high, volume, dailyChangePercentage
2015-01-08T00:23:00-02:00[America/Sao_Paulo],BTC,360.0,326.37,269.57,360.0,1.41,0.0
2015-01-08T01:23:00-02:00[America/Sao_Paulo],BTC,284.05,289.17,268.26,348.43,1.49,-11.3981
2015-01-08T02:23:00-02:00[America/Sao_Paulo],BTC,310.48,297.8,264.81,314.85,1.31,2.9844
2015-01-08T03:23:00-02:00[America/Sao_Paulo],BTC,299.07,277.54,265.64,314.96,1.36,-6.8032
2015-01-08T04:23:00-02:00[America/Sao_Paulo],BTC,276.96,285.86,265.5,314.62,1.46,2.9978
2015-01-08T05:23:00-02:00[America/Sao_Paulo],BTC,303.25,273.23,265.68,314.91,1.36,-4.4182
2015-01-08T06:23:00-02:00[America/Sao_Paulo],BTC,310.91,281.14,265.54,314.6,1.4,2.895
2015-01-08T07:23:00-02:00[America/Sao_Paulo],BTC,303.21,289.25,267.6,312.43,0.71,2.8847
2015-01-08T08:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T09:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T10:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T11:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T12:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T13:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T14:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T15:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T16:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-08T17:23:00-02:00[America/Sao_Paulo],BTC,289.25,289.25,289.25,289.25,0.6,0.0
2015-01-13T01:38:00-02:00[America/Sao_Paulo],BTC,289.25,260.0,260.0,314.72,1.74,-10.1124
2015-01-13T02:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T03:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T04:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T05:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T06:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T07:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T08:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T09:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T10:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T11:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T12:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T13:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T14:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T15:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T16:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T17:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T18:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T19:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T20:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T21:38:00-02:00[America/Sao_Paulo],BTC,260.0,260.0,260.0,260.0,60.0,0.0
2015-01-13T22:38:00-02:00[America/Sao_Paulo],BTC,260.0,200.0,200.0,260.0,22.38,-23.0769
2015-01-13T23:38:00-02:00[America/Sao_Paulo],BTC,200.0,200.0,200.0,200.0,0.6,0.0
2015-01-14T00:38:00-02:00[America/Sao_Paulo],BTC,200.0,200.0,200.0,200.0,0.6,0.0
2015-01-14T01:38:00-02:00[America/Sao_Paulo],BTC,200.0,219.63,200.0,221.0,0.6,9.815
2015-01-14T02:38:00-02:00[America/Sao_Paulo],BTC,219.63,219.63,219.63,219.63,0.6,0.0
2015-01-14T03:38:00-02:00[America/Sao_Paulo],BTC,219.63,219.63,219.63,219.63,0.6,0.0
2015-01-14T04:38:00-02:00[America/Sao_Paulo],BTC,219.63,217.63,217.63,220.0,1.6391334,-0.9106
2015-01-14T05:38:00-02:00[America/Sao_Paulo],BTC,220.0,199.0,199.0,220.0,2.71580234,-8.5604
2015-01-14T06:38:00-02:00[America/Sao_Paulo],BTC,204.0,194.94,109.94,204.0,2.94,-2.0402
2015-01-14T07:38:00-02:00[America/Sao_Paulo],BTC,161.62,145.44,111.53,197.27,1.89,-25.3924
2015-01-14T08:38:00-02:00[America/Sao_Paulo],BTC,117.31,195.83,110.13,199.0,1.4,34.6466
2015-01-14T09:38:00-02:00[America/Sao_Paulo],BTC,124.41,171.29,110.66,197.9,1.37,-12.5313
2015-01-14T10:38:00-02:00[America/Sao_Paulo],BTC,111.89,171.54,110.82,198.0,1.41,0.146
2015-01-14T11:38:00-02:00[America/Sao_Paulo],BTC,171.85,126.65,111.54,197.15,1.44,-26.1688
2015-01-14T12:38:00-02:00[America/Sao_Paulo],BTC,139.49,197.07,109.87,197.07,1.32,55.6021
2015-01-14T13:38:00-02:00[America/Sao_Paulo],BTC,176.56,110.0,110.0,196.79,1.38,-44.1823
2015-01-14T14:38:00-02:00[America/Sao_Paulo],BTC,185.27,169.05,110.2,197.97,1.35,53.6818
2015-01-14T15:38:00-02:00[America/Sao_Paulo],BTC,154.29,185.91,111.12,196.58,0.77,9.9734
2015-01-14T16:38:00-02:00[America/Sao_Paulo],BTC,185.91,185.91,185.91,185.91,0.6,0.0
2015-01-14T17:38:00-02:00[America/Sao_Paulo],BTC,185.91,188.0,185.91,188.0,2.020433,1.1242
2015-01-14T18:38:00-02:00[America/Sao_Paulo],BTC,188.0,120.0,120.0,188.0,3.6146378,-36.1702
2015-01-14T19:38:00-02:00[America/Sao_Paulo],BTC,170.0,120.0,120.0,170.0,3.6,0.0
2015-01-14T20:38:00-02:00[America/Sao_Paulo],BTC,170.0,120.0,120.0,170.0,3.6,0.0
