Date,Symbol,Open,Close,Low,High,Volume BTC,Volume USD
2019-08-14 12-AM,BTC,10857,10802.5,10777,10862,287.68,3112790
2019-08-13 11-PM,BTC,10849.9,10857,10844.3,10890.7,65.55,712696.6
2019-08-13 10-PM,BTC,10857.5,10849.9,10825,10884.1,128.43,1394087.35
2019-08-13 09-PM,BTC,10882.1,10857.5,10818.6,10896.4,117.4,1273926.44
2019-08-13 08-PM,BTC,10890,10882.1,10882.1,10960.6,216.33,2364411.27
2019-08-13 07-PM,BTC,10876.6,10890,10874,10916.8,44.74,487575.25
2019-08-13 06-PM,BTC,10863.6,10876.6,10840,10887.2,31.35,340541.99
2019-08-13 05-PM,BTC,10799.9,10863.6,10751,10878.5,513.85,5562038.62
2019-08-13 04-PM,BTC,10901.4,10799.9,10788,10940.8,544.75,5919673.04
2019-08-13 03-PM,BTC,10950.2,10901.4,10880,10955,330.89,3613281.49
2019-08-13 02-PM,BTC,11110.9,10950.2,10801,11130,1422.28,15611420.66
2019-08-13 01-PM,BTC,11213.5,11110.9,11107,11230.7,507.58,5663726.28
2019-08-13 12-PM,BTC,11252.4,11213.5,11210,11268.4,104.85,1178741.53
2019-08-13 11-AM,BTC,11227.3,11252.4,11210,11274.3,166.59,1875286.46
2019-08-13 10-AM,BTC,11286.6,11227.3,11175,11290,302.48,3396999.16
2019-08-13 09-AM,BTC,11319.5,11286.6,11208.8,11329.3,203.23,2289460.91
2019-08-13 08-AM,BTC,11340.1,11319.5,11300,11341.3,53.63,606717.09
2019-08-13 07-AM,BTC,11350,11340.1,11275.1,11365,225.02,2549153.26
2019-08-13 06-AM,BTC,11359.3,11350,11350,11372.8,115.84,1316048.99
2019-08-13 05-AM,BTC,11343.7,11359.3,11335.9,11374.2,34.3,389496.65
2019-08-13 04-AM,BTC,11389.2,11343.7,11328.4,11389.8,115.46,1310526.91
2019-08-13 03-AM,BTC,11384.1,11389.2,11360.2,11391.2,24.61,279885.07
2019-08-13 02-AM,BTC,11403,11384.1,11380.1,11420.5,34.72,396011.53
2019-08-13 01-AM,BTC,11411.9,11403,11394.1,11442.6,70.18,801229.41
2019-08-13 12-AM,BTC,11384.2,11411.9,11352.1,11418,157.41,1792081.88
2019-08-12 11-PM,BTC,11400.5,11384.2,11372.1,11410.9,36.46,415234.53
2019-08-12 10-PM,BTC,11403.7,11400.5,11364.2,11436,101.53,1157177.39
2019-08-12 09-PM,BTC,11428.2,11403.7,11387.2,11434.9,87.82,1001967.62
2019-08-12 08-PM,BTC,11435.1,11428.2,11413.9,11478.6,137.02,1567827.39
2019-08-12 07-PM,BTC,11399.6,11435.1,11385.1,11435.1,58.48,666959.4
2019-08-12 06-PM,BTC,11400.3,11399.6,11374,11400.3,38.59,439475.42
2019-08-12 05-PM,BTC,11397.7,11400.3,11369.5,11420.3,113.52,1294200.8
2019-08-12 04-PM,BTC,11379.6,11397.7,11357,11438.3,170.57,1942752.32
2019-08-12 03-PM,BTC,11367.9,11379.6,11332.8,11388.1,83.64,950257.4
2019-08-12 02-PM,BTC,11374.5,11367.9,11350,11389,45.01,511906.03
2019-08-12 01-PM,BTC,11379.7,11374.5,11345,11383,138.94,1578296.16
2019-08-12 12-PM,BTC,11323.3,11379.7,11235,11404.6,349.65,3963778.9
2019-08-12 11-AM,BTC,11367,11323.3,11298.4,11367.1,129.41,1465104.2
2019-08-12 10-AM,BTC,11355.8,11367,11343.7,11388.3,69.57,790866.6
2019-08-12 09-AM,BTC,11348.4,11355.8,11335,11365,28.14,319506.57
2019-08-12 08-AM,BTC,11399.7,11348.4,11294.4,11399.7,96.57,1093967.13
2019-08-12 07-AM,BTC,11354.9,11399.7,11337.3,11408,53.55,608748.33
2019-08-12 06-AM,BTC,11385,11354.9,11328.9,11400,88.99,1010613.28
2019-08-12 05-AM,BTC,11418.9,11385,11350,11433.5,169.96,1936880.35
2019-08-12 04-AM,BTC,11433.4,11418.9,11411.5,11468.5,90.7,1038473.1
2019-08-12 03-AM,BTC,11427.4,11433.4,11404.8,11459.2,88.06,1007185.34
2019-08-12 02-AM,BTC,11482.5,11427.4,11413.7,11488.9,68.63,785885.37
2019-08-12 01-AM,BTC,11458.9,11482.5,11458.9,11521.3,95.04,1091814.61
2019-08-12 12-AM,BTC,11526.7,11458.9,11435,11550.2,183.19,2103560.46
2019-08-11 11-PM,BTC,11493.2,11526.7,11493.2,11581,122.38,1412300.41
2019-08-11 10-PM,BTC,11495,11493.2,11475.3,11515.8,81.47,936256.74
2019-08-11 09-PM,BTC,11408,11495,11407.9,11565.8,378.05,4351502.48
2019-08-11 08-PM,BTC,11367.6,11408,11283.2,11448.5,308.39,3512839.49
2019-08-11 07-PM,BTC,11380.8,11367.6,11357.1,11385.3,36.3,412769.47
2019-08-11 06-PM,BTC,11360,11380.8,11354.1,11401.9,34.23,389286.85
2019-08-11 05-PM,BTC,11382.6,11360,11360,11398.7,82.43,938393.45
2019-08-11 04-PM,BTC,11360.9,11382.6,11360,11419.3,115.22,1312277.88
2019-08-11 03-PM,BTC,11377.4,11360.9,11349.4,11395,76.8,872800.04
2019-08-11 02-PM,BTC,11387.3,11377.4,11360.1,11412.9,38.34,436372.28
2019-08-11 01-PM,BTC,11435.4,11387.3,11371,11449.6,72.65,827582.19
2019-08-11 12-PM,BTC,11462.9,11435.4,11403.2,11463.9,80.26,917926.12
2019-08-11 11-AM,BTC,11324.7,11462.9,11324.4,11509.4,269.23,3077214.28
2019-08-11 10-AM,BTC,11340.4,11324.7,11311.5,11366,137.57,1560696.1
2019-08-11 09-AM,BTC,11312.7,11340.4,11101.9,11370,626.58,7031799.6
2019-08-11 08-AM,BTC,11350,11312.7,11275,11363.9,128.44,1453288.42
2019-08-11 07-AM,BTC,11328.9,11350,11326.6,11350,44.8,508139.11
2019-08-11 06-AM,BTC,11356.5,11328.9,11320,11370.6,35.45,401937.37
2019-08-11 05-AM,BTC,11355.3,11356.5,11345,11364.1,38.09,432480.75
2019-08-11 04-AM,BTC,11367.9,11355.3,11350.6,11392.1,35.85,407811.26
2019-08-11 03-AM,BTC,11351.2,11367.9,11343.9,11384.4,90.64,1030349.1
2019-08-11 02-AM,BTC,11344,11351.2,11333.3,11358.6,35.36,401218.49
2019-08-11 01-AM,BTC,11376.4,11344,11334.7,11376.4,53.27,604877.99
2019-08-11 12-AM,BTC,11284.7,11376.4,11256.2,11420,320.79,3645484.93
2019-08-10 11-PM,BTC,11285.6,11284.7,11272.1,11326.8,109.79,1240837.45
2019-08-10 10-PM,BTC,11288.9,11285.6,11235.4,11291.5,188.07,2119499.53
2019-08-10 09-PM,BTC,11316.5,11288.9,11230.2,11341.9,376.86,4247082.9
2019-08-10 08-PM,BTC,11301.5,11316.5,11300,11358,71.55,810776.1
2019-08-10 07-PM,BTC,11356.5,11301.5,11253.6,11356.5,94.6,1070154.53
2019-08-10 06-PM,BTC,11377.7,11356.5,11300,11377.8,96.9,1099680.86
2019-08-10 05-PM,BTC,11337,11377.7,11250,11398.2,205.84,2328750.58
2019-08-10 04-PM,BTC,11385.1,11337,11309.6,11389.9,148.82,1689322.53
2019-08-10 03-PM,BTC,11386.4,11385.1,11351,11398.2,177.55,2018749.55
2019-08-10 02-PM,BTC,11410.6,11386.4,11302.2,11411.1,336.51,3819976.86
2019-08-10 01-PM,BTC,11406.3,11410.6,11375.7,11444,276.09,3151297.25
2019-08-10 12-PM,BTC,11369.9,11406.3,11265.1,11437.2,507.4,5762007.38
2019-08-10 11-AM,BTC,11871.7,11369.9,11233,11871.7,1547.84,17724149.61
2019-08-10 10-AM,BTC,11883.4,11871.7,11855,11888.1,51.65,613264.24
2019-08-10 09-AM,BTC,11848.6,11883.4,11848.1,11885,43.79,519774.2
2019-08-10 08-AM,BTC,11823.8,11848.6,11823.8,11874.8,44.65,529685.71
2019-08-10 07-AM,BTC,11812.4,11823.8,11800.3,11845.9,29.62,350089.1
2019-08-10 06-AM,BTC,11839.1,11812.4,11800.1,11874.9,62.65,741081.35
