date,symbol,open,close,low, high, volume
2014-12-01,BTC,300.0,370.0,300.0,370.0,31.30887100000038
2014-12-02,BTC,370.0,378.0,370.0,378.0,2471.2205078600746
2014-12-03,BTC,378.0,377.1,377.01,378.0,62.803451080000116
2014-12-05,BTC,378.0,378.0,378.0,378.0,0.015
2014-12-08,BTC,375.01,375.01,375.0,375.0,0.235
2014-12-10,BTC,398.0,360.5,360.5,398.0,0.02
2014-12-12,BTC,379.0,350.0,350.0,379.0,4.44
2014-12-18,BTC,345.0,345.0,340.0,340.0,2.0
2015-01-07,BTC,360.0,343.03,270.35,360.0,0.8100000000000004
2015-01-08,BTC,334.27,293.86,264.81,348.43,16.42999999999981
2015-01-13,BTC,260.0,200.0,200.0,260.0,1224.189999999999
2015-01-14,BTC,200.0,192.0,109.87,221.0,74.06000704000044
2015-01-15,BTC,191.99,203.0,150.0,224.0,196.89467803998875
2015-01-16,BTC,203.0,210.0,189.0,225.5,18.095999999999663
2015-01-17,BTC,210.0,186.0,184.0,210.0,22.568999999999747
2015-01-18,BTC,210.0,210.0,210.0,210.0,16.799999999999972
2015-01-19,BTC,210.0,225.51,210.0,225.51,35.11000000000093
2015-01-20,BTC,225.51,224.0,208.0,225.51,14.118999999999733
2015-01-21,BTC,224.0,229.97,216.59,252.68,9.488402499999859
2015-01-22,BTC,225.0,226.32,216.67,257.58,20.940000000000627
2015-01-23,BTC,226.32,216.0,215.0,235.0,25.440070000000212
2015-01-24,BTC,216.0,250.23,216.0,250.58,140.09000000000032
2015-01-25,BTC,250.23,269.2,245.32,274.35,3119.9020132800088
2015-01-26,BTC,269.2,258.51,241.43,307.46,11267.977361210013
2015-01-27,BTC,258.7,263.52,244.03,267.5,2074.888498399998
2015-01-28,BTC,263.53,236.42,228.5,263.52,7074.194242360009
2015-01-29,BTC,236.42,236.02,221.14,241.68,7790.795621310016
2015-01-30,BTC,236.0,229.75,227.89,244.59,7699.087643740011
2015-01-31,BTC,230.02,220.08,216.16,234.54,7441.832252320018
2015-02-01,BTC,220.08,228.0,210.0,233.42,8640.172668400017
